CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B1500435600000;HENRICO - PRIMEIROS ERROS;DIEGO LARREA DUARTE;BRASIL
B1500435700000;A FESTA DO CAVALO NOIA OU COMO COLOCAMOS A CAMERA NA CABEÇA DO CAVALO;GILBERTO CAETANO BARBOZA;BRASIL
B1500435700000;A FESTA DO CAVALO NOIA OU COMO COLOCAMOS A CAMERA NA CABEÇA DO CAVALO;THAIS HELENA DOS SANTOS SCABIO;Não Informado
B1500435800000;RESGATE DO BURRO;PABLO ZAMBELI DA SILVA;BRASIL
B1500436000000;TETO SOLAR;PEDRO ANJOS FURTADO;BRASIL
B1500436200000;BANDA GRITOS DE PAZ - VIDEOCLIPE COISAS BOAS;DAVID ANTUNES DOS REIS;BRASIL
B1500436300000;ATRASO VERDADE;FLAVIO ANDRE DOS PASSOS;BRASIL
B1500436400000;O ASFALTO;PEDRO FIGUEIREDO NOBRE CORTESE;BRASIL
B1500436600000;HOJE É DIA DE MARIA;LUIZ FERNANDO CARVALHO DE ALMEIDA;BRASIL
B1500436700000;ANGORÁ;EMERSON CARLOS LARA EVENCIO;BRASIL
B1500436800000;AO VIVO DE BERGUE;PAULO SERGIO DOS SANTOS SENA;BRASIL
B1500436900000;GANJA LIPS WUMAN, DADA YUTE;ALEXANDRE LUIZ MORAWSKI VIANNA;BRASIL
B1500437000000;SER MÃE É SE DEIXAR SURPREENDER;JOAO ALEXANDRE BATISTELLA;BRASIL
B1500437100000;SEGURANÇA E CIDADANIA;EMERSON DE ALMEIDA;BRASIL
B1500437100000;SEGURANÇA E CIDADANIA;JOAO ALEXANDRE BATISTELLA;BRASIL
B1500437100000;SEGURANÇA E CIDADANIA;MAIKON FABRICIO PIRES;BRASIL
B1500437200000;TUDO QUE VOCÊ QUISER;JOANA SALLES MAZZUCCHELLI;BRASIL
B1500437300000;SOGRÃO CAPRICHOU;JOANA SALLES MAZZUCCHELLI;BRASIL
B1500437500000;ESCREVE AÍ;JOANA SALLES MAZZUCCHELLI;BRASIL
B1500437600000;SANTO DE CASA;MARIA CAROLINA GONCALVES DA SILVA;BRASIL
B1500437700000;MEU PASSADO ME CONDENA 2;JULIA SALLES DE REZENDE;BRASIL
B1500437800000;AYRTON, RETRATOS E MEMÓRIAS;ERNESTO CARNEIRO RODRIGUES;BRASIL
B1500437900000;POP ESTRADA - 1ª TEMPORADA;DANIEL FERRO DA SILVA;BRASIL
B1500438100000;SAM ALVES - COUNTING STARS (COVER DE ONE REPUBLIC);GUILHERME LUIZ ZATTAR;BRASIL
B1500438200000;O QUE VEM DEPOIS;MARCIO JOSE REBELO VILLELA DE CASTRO;BRASIL
B1500438300000;MEGAN NICOLE - ROAR (COVER DE KATY PERRY);GUILHERME LUIZ ZATTAR;BRASIL
B1500438400000;LITTLE MIX - WINGS (VERSÃO DO FÃ);GUILHERME LUIZ ZATTAR;BRASIL
B1500438500000;JULIA SHEER - STAY (COVER DE RIHANNA);GUILHERME LUIZ ZATTAR;BRASIL
B1500438600000;CHRISTINA GRIMIE - LEGO HOUSE (COVER DE ED SHEERAN);GUILHERME LUIZ ZATTAR;BRASIL
B1500438700000;BRUNO MARS - GRENADE (VERSÃO DO FÃ);GUILHERME LUIZ ZATTAR;BRASIL
B1500438800000;O DELÍRIO DA MULHER MARIA;DANIEL PEIXOTO RIBEIRO;BRASIL
B1500438800000;O DELÍRIO DA MULHER MARIA;JOSE LUIZ GOMES DA SILVA JUNIOR;Não Informado
B1500438900000;BRUNO GADIOL - BANG BANG (COVER DE JESSIE J);GUILHERME LUIZ ZATTAR;BRASIL
B1500439000000;NOSSA TOCA - ANIMALS (COVER DE MARRON 5);GUILHERME LUIZ ZATTAR;BRASIL
B1500439100000;PEDRO HENRIQUE - ANACONDA (VERSÃO DO FÃ DE NICKI MINAJ);GUILHERME LUIZ ZATTAR;BRASIL
B1500439200000;LEVANTA A CABECA PRINCESA;MARCIO JOSE LEITES DOS SANTOS;BRASIL
B1500439300000;PEDRO HENRIQUE - BOOTY (VERSÃO DO FÃ DE JENNIFER LOPEZ);GUILHERME LUIZ ZATTAR;BRASIL
B1500439400000;LADY GAGA - DONATELLA (VERSÃO DO FÃ);GUILHERME LUIZ ZATTAR;BRASIL
B1500439500000;MAX SCHNEIDER - AS LONG AS YOU LOVE ME (COVER DE JUSTIN BIEBER);GUILHERME LUIZ ZATTAR;BRASIL
B1500439600000;INÍCIO, MEIO, INÍCIO;FABIANO AZEVEDO PASSOS;BRASIL
B1500439700000;ONE DIRECTION - KISS YOU (VERSÃO DO FÃ);GUILHERME LUIZ ZATTAR;BRASIL
B1500439800000;TIFFANY ALVORD - SHAKE IT OFF (COVER DE TAYLOR SWIFT);GUILHERME LUIZ ZATTAR;BRASIL
B1500440100000;KEEP CALM;PATRICIA RIBEIRO BARBIERI STERN;BRASIL
B1500440200000;NA TRILHA DO JOANA;CAUE STEINBERG MILANO;BRASIL
B1500440300000;MARIA;LUIS FERNANDO MORI;BRASIL
B1500440400000;ESPIRAL DO TEMPO;FABIO YAMADA;BRASIL
B1500440500000;GRUPO CORPO 40 ANOS;CLAUDIA DE BRITO RIBEIRO DE OLIVEIRA;BRASIL
B1500440500000;GRUPO CORPO 40 ANOS;JANAINA MOREIRA DO PATROCINIO;BRASIL
B1500440600000;COZINHA NA LAJE;MARCELO LOUREIRO BARILLARI;BRASIL
B1500440600000;COZINHA NA LAJE;PAULO HENRIQUE SEQUEIRA CUENCA GOMES;BRASIL
B1500440700000;DOC CINE CAMPINHO;ANGELO MARCIO LEANDRO DA SILVA;BRASIL
B1500440700000;DOC CINE CAMPINHO;JOSE CARLOS FERREIRA LIMA;BRASIL
B1500440700000;DOC CINE CAMPINHO;ROBERTO CRISTIANO DE SANTANA SANTOS;BRASIL
B1500440800000;OPERAÇÃO POLICIAL NOVA GERAÇÃO - 2ª TEMPORADA;CARLA MARIA ALBUQUERQUE DE SA;BRASIL
B1500440900000;CORPO LTDA - REPERTÓRIO;CLAUDIA DE BRITO RIBEIRO DE OLIVEIRA;BRASIL
B1500440900000;CORPO LTDA - REPERTÓRIO;JANAINA MOREIRA DO PATROCINIO;BRASIL
B1500441000000;P.O.L.I.C.I.A - SEGUNDA TEMPORADA;CARLA MARIA ALBUQUERQUE DE SA;BRASIL
B1500441700000;UM MENINO DO BIÉ;MARCELO FRANCISCO DE LUNA;BRASIL
B1500441900000;PARA NÃO ESQUECER ANGOLA;MARCELO FRANCISCO DE LUNA;BRASIL
B1500442800000;ANIMANIAS - O SEGREDO DOS SUPER HERÓIS & BRINCANDO COM O LIXO;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500442900000;ANIMANIAS - UM DIA NA FAZENDA;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500443000000;COLÔNIA PENAL;MARCO ANTONIO VISCONTE ESCRIVAO;BRASIL
B1500443100000;ANIMANIAS - ZOOLÓGICO DO AVESSO;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500443200000;ANIMANIAS - O CIRCO;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500443300000;ANIMANIAS - CANTIGAS DE RODA;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500443400000;ANIMANIAS - A GRANDE CONFUSÃO;LUCIANO RODRIGO DE OLIVEIRA;BRASIL
B1500443500000;ANTES DE DORMIR;CLAUDIA MELE;BRASIL
B1500443600000;TURMA DA MÔNICA EM CINE GIBI 8 -...TÁ BRINCANDO?;MAURICIO ARAUJO DE SOUSA;BRASIL
B1500443700000;PAPO DE SEGUNDA;MARIANA RITTO KOEHLER;BRASIL
B1500443800000;QUEEN OF TOWN;DIEGO HENRIQUE DANTAS FREITAS;BRASIL
B1500443900000;ARAUTOS DO REI - O TEMPO DE DEUS;ALESSANDRO TOSTES TOLEDO;BRASIL
B1500444000000;VAI TOMAR GELINHO;DIEGO HENRIQUE DANTAS FREITAS;BRASIL
B1500444100000;LAURA MORENA - MAIS PERTO;ALESSANDRO TOSTES TOLEDO;BRASIL
B1500444200000;PRA TE ENTREGAR;MAURICIO ARTACHO D ALMEIDA ECA;BRASIL
B1500444300000;CALIFORFUN - 3ª TEMPORADA;ALFREDO MAXIMILIANO RIZZO VICENTE;BRASIL
B1500444300000;CALIFORFUN - 3ª TEMPORADA;DANILO DOS REIS;BRASIL
B1500444400000;PRÊMIO DA MÚSICA BRASILEIRA;LETICIA VIANA MUHANA;BRASIL
B1500444400000;PRÊMIO DA MÚSICA BRASILEIRA;PATRICIA LOVELL PARKER GUIMARAES;Não Informado
B1500444500000;CHINA NOS PASSOS DE CHLOÉ CALMON;FULVIO VASCONCELOS MAIA;BRASIL
B1500444600000;QUITANDA DA LIBERDADE;MARCELO DE OLIVEIRA SANTOS;BRASIL
B1500444700000;POLO NORTE OU ÁFRICA;AMOS RODRIGUES;BRASIL
B1500444900000;PRA ONDA BOA ME LEVAR;GUSTAVO DA ROSA PIRES;BRASIL
B1500445000000;LIAH SOARES AO VIVO NO THEATRO DA PAZ;CHRISTIAN ANDRES VALENTE;BRASIL
B1500445200000;ROBERTO CARLOS AO VIVO EM LAS VEGAS;MARIO HUMBERTO MEIRELLES MOREIRA;BRASIL
B1500445300000;SABEDORIA KAINGANG;KARINE MEDEIROS EMERICH;BRASIL
B1500445300000;SABEDORIA KAINGANG;ROGERIO REUS GONCALVES DA ROSA;BRASIL
B1500445400000;BUBBLE;DANIELA BRAGAGLIA;BRASIL
B1500445400000;BUBBLE;MARINA PINHO;BRASIL
B1500445800000;O SAUIM DE MANAUS;ALEXANDRE DE SOUZA GONCALVES;BRASIL
B1500445900000;FLORESTA CONECTADA;WILTON DE SOUSA JUNIOR;BRASIL
B1500446200000;AS BALEIAS;ALEXANDRE DE SOUZA GONCALVES;BRASIL
B1500446200000;AS BALEIAS;ESTEVAO OLIMPIO SILVEIRA DE QUEIROGA;BRASIL
B1500446200000;AS BALEIAS;JOSE OLIMPIO DE QUEIROGA NETO;BRASIL
B1500447100000;O SORVETE;ALEXANDRE DE SOUZA GONCALVES;BRASIL
B1500447100000;O SORVETE;ESTEVAO OLIMPIO SILVEIRA DE QUEIROGA;BRASIL
B1500447100000;O SORVETE;JOSE OLIMPIO DE QUEIROGA NETO;BRASIL
B1500447400000;VULCÕES;ALEXANDRE DE SOUZA GONCALVES;BRASIL
B1500447400000;VULCÕES;ESTEVAO OLIMPIO SILVEIRA DE QUEIROGA;BRASIL
B1500447400000;VULCÕES;JOSE OLIMPIO DE QUEIROGA NETO;BRASIL
B1500447900000;VERDADES SECRETAS;MAURO PEREIRA DE MENDONCA FILHO;BRASIL
B1500448000000;AS FORMIGAS;GIOVANA FRANCO RAMOS;BRASIL
B1500448100000;VC NEM BEM CHEGOU...;JANAINA VALLIM DE MELO;BRASIL
B1500448100000;VC NEM BEM CHEGOU...;JULIANA PFEIFER CAETANO;BRASIL
B1500448400000;ANJOS E TROVOADAS;JULIANA RADLER DE AQUINO;BRASIL
B1500448500000;VERTIÈRES I II III;LOUISE BOTKAY COURCIER;BRASIL
B1500448600000;ORESTES;RODRIGO LOPES SIQUEIRA;BRASIL
B1500448700000;ARTE DA LOUCURA;KARINE MEDEIROS EMERICH;BRASIL
B1500448700000;ARTE DA LOUCURA;MIRELA KRUEL BILHAR;BRASIL
B1500448800000;MOSAICO;CAMILA MARTINS YALLOUZ;BRASIL
B1500448800000;MOSAICO;ELEN LINTH MARQUES DANTAS;BRASIL
B1500448900000;SAMBARES;ELEN LINTH MARQUES DANTAS;BRASIL
B1500449000000;A FADA DAS VEREDAS;GUSTAVO ANTONIO CERATTI SILVA;BRASIL
B1500449100000;ENTRE PASSOS;ELEN LINTH MARQUES DANTAS;BRASIL
B1500449200000;MISCHA;ALEXIS KORFF MULLER;BRASIL
B1500449400000;NARRATIVA DE UM GOLPE - ALMINO AFFONSO CONTA JANGO/64;MARCELO CUNHA DE SOUZA;BRASIL
B1500449600000;DESTINO DAS ALMAS-PILOTO;DEMIS PALONI VIANA;BRASIL
B1500450000000;CONSELHO;THALES CORREA REIS;BRASIL
B1500450100000;OROMIMÁ;CAMILA MARTINS YALLOUZ;BRASIL
B1500450100000;OROMIMÁ;ELEN LINTH MARQUES DANTAS;BRASIL
B1500450100000;OROMIMÁ;LAMONIER ANGELO DE SOUZA;BRASIL
B1500450200000;VILANOVA ARTIGAS: O ARQUITETO E A LUZ;LAURA ARTIGAS FORTI;BRASIL
B1500450200000;VILANOVA ARTIGAS: O ARQUITETO E A LUZ;PEDRO BARBIERI GORSKI;BRASIL
B1500450300000;DIÁRIO DE NOVAS LEMBRANÇAS;JOAO PEDRO OCTAVIO SILVA;BRASIL
B1500450400000;SAMBA DE RODA;DIEGO DE JESUS SANTOS;BRASIL
B1500450400000;SAMBA DE RODA;ELEN LINTH MARQUES DANTAS;BRASIL
B1500450400000;SAMBA DE RODA;LEANDRO SANTOS RODRIGUES;BRASIL
B1500450400000;SAMBA DE RODA;LUCICLEIDE SOARES DA CRUZ;BRASIL
B1500450400000;SAMBA DE RODA;RIANE BARBOSA DO NASCIMENTO;BRASIL
B1500450500000;COMPOSITORES UNIDOS - 3ª TEMPORADA;DARCY BURGER JUNIOR;BRASIL
B1500450600000;PRA SE CONTAR UMA HISTÓRIA;DIEGO DE JESUS SANTOS;BRASIL
B1500450600000;PRA SE CONTAR UMA HISTÓRIA;ELEN LINTH MARQUES DANTAS;BRASIL
B1500450600000;PRA SE CONTAR UMA HISTÓRIA;LEANDRO SANTOS RODRIGUES;BRASIL
B1500450600000;PRA SE CONTAR UMA HISTÓRIA;LUCICLEIDE SOARES DA CRUZ;BRASIL
B1500451200000;O SOM DA MASSA;JOICE BITTENCOURT TOFOLI;BRASIL
B1500451400000;VINIL;VINICIUS GOTTARDELLO DIAS LOPES;BRASIL
B1500451700000;ENTRE NÓS;ALEXIS KORFF MULLER;BRASIL
B1500451800000;ATO, ATALHO E VENTO;MARCELO SA MOREIRA MASAGAO;BRASIL
B1500451900000;HAMARTIA VENTOS DO DESTINO;RONDON MARTIM SOUZA DE CASTRO;BRASIL
B1500452000000;ECLÉTICO;ADRIANO CAPIBERIBE FRANCO FAGUNDES;BRASIL
B1500452000000;ECLÉTICO;FABIO JOSE DE MELO;BRASIL
B1500452100000;O TOURO;LARISSA MARIA FIGUEIREDO MENDES;BRASIL
B1500453100000;CARROSSEL - O FILME;ALEXANDRE GALVAO SUCUPIRA BOURY;BRASIL
B1500453100000;CARROSSEL - O FILME;MAURICIO ARTACHO D ALMEIDA ECA;BRASIL
B1500454800000;ESTE AMBIENTE ESTÁ SENDO FILMADO?;VINICIUS COSTA LIMA COSTA;BRASIL
B1500455500000;"""TOCA AÍ UM JOÃO MINEIRO E MARCIANO""";BRUNO DUARTE GONCALVES;BRASIL
B1500455500000;"""TOCA AÍ UM JOÃO MINEIRO E MARCIANO""";RODRIGO VAN DER PUT RAMOS JUBE;BRASIL
B1500456200000;PENHA, UMA FESTA CARIOCA;RICARDO JOSE TAVARES DO CARMO;BRASIL
B1500456600000;O ESPINHO AO SEU LADO;JOAO LUCCA REAL PIOVAN;BRASIL
B1500456700000;MUNDO SELVAGEM DE RICHARD RASMUSSEN - 2A TEMPORADA;GUILHERME EDUARDO STOCKLER;BRASIL
B1500456700000;MUNDO SELVAGEM DE RICHARD RASMUSSEN - 2A TEMPORADA;LUIZ FERNANDO FERES DA CUNHA FERRAZ;BRASIL
B1500456800000;O CÉU SOBRE OS TEUS OMBROS;LUIZ HUMBERTO DAL BOITI MAXIMIANO;BRASIL
B1500456900000;PARTE II;BIANCA DE SOUZA BERNARDINO;BRASIL
B1500456900000;PARTE II;GABRIEL CESAR CAMARGO;BRASIL
B1500456900000;PARTE II;JULIA DE SOUZA CAMARGO;BRASIL
B1500456900000;PARTE II;TIAGO HENRIQUE CAMARGO;BRASIL
B1500457000000;O VOO DO BEIJA-FLOR;ANA CLAUDIA DA CRUZ MELO;BRASIL
B1500457100000;FILME AÇÃO E REAÇÃO;GILBERTO LUIZ DA SILVA;BRASIL
B1500457200000;"DOCUMENTÁRIO ""IVENS CUIABANO SCAFF - O POETA BEM COMPORTADO""";JOAO CARLOS MANTEUFEL JUNIOR;BRASIL
B1500457300000;MOSAICO;CARLOS KAVANO JUNIOR;BRASIL
B1500457400000;MUNDO BITA;FELIPE FREIRE DE ALMEIDA;BRASIL
B1500457400000;MUNDO BITA;LEANDRO VIANA DE MELO;BRASIL
B1500457600000;MINUTO LEGISLATIVO;CARLOS KAVANO JUNIOR;BRASIL
B1500457700000;TUDO VAI FICAR DA COR QUE VOCÊ QUISER;LETICIA CASTRO SIMOES;BRASIL
B1500457800000;ONDE VIVEM OS MONSTROS?;YTHALLO DEMYS BEZERRA RODRIGUES;BRASIL
B1500458800000;USP 7%;BRUNO ZACHARIAS BOCCHINI;BRASIL
B1500458800000;USP 7%;DANIEL CARVALHO DE MELLO;BRASIL
B1500459900000;INFERNO;THIAGO MOULIN RIBEIRO;BRASIL
B1500460000000;KIDCHUP;CAROLINA GIANNINI VEIRANO;BRASIL
B1500460000000;KIDCHUP;GUILHERME GHUSSN;BRASIL
B1500460100000;INFINITO MOVIMENTO;TALITA TODARO SANTOS DE MIRANDA;BRASIL
B1500460200000;DESEJAR PROFUNDO - 5ª TEMPORADA;CARLOS OTAVIO SANFELICE;BRASIL
B1500460300000;QUE GERAÇÃO É ESSA?;WAGNER LUIZ DE ASSIS COELHO;BRASIL
B1500462200000;ALGUNS TRITÕES;ANDRE EHRLICH LUCAS;BRASIL
B1500462500000;JOÃO PACÍFICO - O CAIPIRA DE SÃO PAULO;PAULO RENATO DE SOUZA WEIDEBACH;BRASIL
B1500462900000;DO IT;LUAN CARDOSO DE CARVALHO;BRASIL
B1500463200000;O VENENO ESTÁ NA MESA 2;SILVIO TENDLER;BRASIL
B1500463300000;DEUS, NIETZSCHE E WOODY ALLEN;LUAN CARDOSO DE CARVALHO;BRASIL
B1500463700000;FABRIK FUNK;ALEXANDRINE BOUDREAULT-FOURNIER;CANADÁ
B1500463700000;FABRIK FUNK;ROSE SATIKO GITIRANA HIKIJI;BRASIL
B1500463700000;FABRIK FUNK;SYLVIA MARIA CAIUBY NOVAES;BRASIL
B1500463800000;A SIMBIOSE;WALDIR RODRIGUES FILHO;BRASIL
B1500463900000;DISPENSA DO AMOR MECÂNICO;WALTER FERNANDES BOUCAS JUNIOR;BRASIL
B1500464000000;O DIPLOMATA;FABIO ALENCAR DE CARVALHO;BRASIL
B1500464000000;O DIPLOMATA;FLAVIA BARBALHO PAULINO;BRASIL
B1500464000000;O DIPLOMATA;ISABEL FURTADO DE LACERDA;BRASIL
B1500464100000;PALAVRA DE DRA. ZÉLIA BRANDÃO;FLAVIA BARBALHO PAULINO;BRASIL
B1500464200000;HERMANOTEU NA TERRA DE GODAH - AO VIVO;PEDRO HENRIQUE SECCHIN SILVA;BRASIL
B1500464300000;AZUL DA COR DO MAR;PEDRO HENRIQUE MENDES FERNANDES;BRASIL
B1500464400000;O CANTO DO HOMEM;ALLAN RIBEIRO DA SILVA;BRASIL
B1500464500000;TRONQUINHO E PÃO DE QUEIJO;EDUARDO CAMPOS DA SILVA ALVES;BRASIL
B1500464600000;BRUXARIAS;VIRGINIA CURIA MARTINEZ;ESPANHA
B1500464700000;BOI;VINICIUS DEL DUQUE ROSA DE MELO;BRASIL
B1500464800000;A INVENÇÃO DA NOITE;TOMAS MANCINO VON DER OSTEN;BRASIL
B1500464900000;VOLTA AO MUNDO;TIAGO TRINDADE LOPES;BRASIL
B1500465000000;FICO;CAROLINE PIEROTTO;BRASIL
B1500465100000;MESTRES DO MALTE-PILOTO;EDUARDO DANTAS LUDERER DE ANDRADE;BRASIL
B1500465200000;O VAGABUNDO E A DAMA;GUSTAVO MARCOLINI;BRASIL
B1500465300000;RACHID CAMARGO - CORAÇÃO DE ARTISTA;RAFAEL ALVES MACHADO DO CARMO;BRASIL
B1500465400000;TRAVEL SHOT;GUSTAVO RAMOS BOZZETTI;BRASIL
B1500465500000;CURTA-METRAGEM DE FICÇÃO LÉO;MARIANI BATISTA DA SILVA FERREIRA;BRASIL
B1500465600000;ORIGEM;EVERTON SEINO;BRASIL
B1500465600000;ORIGEM;VALDIR FAGUNDES;BRASIL
B1500465800000;DESSAS COISAS QUE ACONTECEM;SUELI CRISTINA DOS SANTOS ARAUJO;BRASIL
B1500466000000;ELA LEVOU MINHA CAMISETA DOS RAMONES;VICTOR GARCIA PEREIRA FERNANDES;BRASIL
B1500466100000;TANTO FAZ;BRUNO SANT ANA DOMENECH LUCENA;BRASIL
B1500466200000;POR TRÁS DO NARIZ VERMELHO;VALDIR FAGUNDES;BRASIL
B1500466300000;CINE BELAS ARTES - CONSOLAÇÃO, 2423;LUAN CARDOSO DE CARVALHO;BRASIL
B1500466700000;COMO SÃO CRUÉIS OS PÁSSAROS DA ALVORADA;JOAO TOLEDO NOGUEIRA DE SOUSA;BRASIL
B1500468100000;MURIEL;VANESSA CAVALCANTE FEITOSA;BRASIL
B1500471100000;CONVERSAS COM PAULO JOSÉ;PEDRO CARNEIRO FREIRE;BRASIL
B1500471200000;CURVA DO S CLÁSSICOS;ROBERTO FIGUEROA;BRASIL
B1500471300000;CAUSOS E CANTOS, VALE DO PAJEÚ;LUIZ DE FRANCA GUILHERME DE QUEIROGA FILHO;BRASIL
B1500471400000;HOMEM NA ESTRADA;FELIPE GODOI TERRA;BRASIL
B1500471500000;TEMPO É MORFINA;DANIEL RIBEIRO QUEIJA NASCIMENTO;BRASIL
B1500471500000;TEMPO É MORFINA;KAMILLI GABRIELLI VASSAO SEMENOV;BRASIL
B1500471600000;COCO DE ELEVADOR (FURMIGADUB REMIX);PAULO EDUARDO CEZARETO PASSARO;BRASIL
B1500471700000;SUBITO STACATTO;PAULO RENATO DE SOUZA WEIDEBACH;BRASIL
B1500471800000;PASSAGEM;ROBERTO ELISABETSKY;BRASIL
B1500471900000;TRIP MAGAZINE;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472000000;TRIP GEO;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472100000;TOTAL AVENTURA;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472200000;SPA DAY;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472300000;DATA LIMITE SEGUNDO CHICO XAVIER;FABIO HOSHINO;BRASIL
B1500472400000;MINUTO DO CASAMENTO;MARGARETE BEATRIZ NOE;BRASIL
B1500472500000;CASA DE REPOUSO;BRIGITTE LUCIA SACHS KINDI;BRASIL
B1500472500000;CASA DE REPOUSO;INGRID SACHS KINDI;BRASIL
B1500472600000;PIER;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472700000;GPS DE VIAGEM;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500472800000;BABY NÃO VA;ALEXANDRE HENRIQUE FERREIRA DOS SANTOS;BRASIL
B1500472900000;DICAS DE VIAGEM;FABIO DE SOUZA CAPPELLINI;BRASIL
B1500474100000;UM BOM LUGAR PARA SE SENTIR INVISÍVEL;PATRICIA LOBO FERRAZ DE ANDRADE;BRASIL
B1500474600000;OVERDRIVER - BLAME;SAMUEL KLEIN ROOS;BRASIL
B1500474800000;OVERDRIVER - REAL LOVE;SAMUEL KLEIN ROOS;BRASIL
B1500475300000;OVERDRIVER - JEALOUS;SAMUEL KLEIN ROOS;BRASIL
B1500475400000;RONDON, O DESBRAVADOR;MARCELO FERRETTI SANTIAGO;BRASIL
B1500475400000;RONDON, O DESBRAVADOR;RODRIGO STABILLE PIOVEZAN;BRASIL
B1500475500000;COMO ERA GOSTOSO MEU CAFUÇU;RODRIGO ALMEIDA FERREIRA;BRASIL
B1500475600000;CASSIANO;THIAGO GOMES ROSA RIBEIRO;BRASIL
B1500478000000;LUCAS LUCCO E HENRIQUE & DIEGO - SUÍTE 14 (EXTRAÍDO MÚSICA BOA);PEDRO HENRIQUE SECCHIN SILVA;BRASIL
B1500478200000;CATARSE;VINICIUS GONCALVES VASCONCELOS;BRASIL
B1500478300000;LUCAS LUCCO - YELLOW (EXTRAÍDO MÚSICA BOA);PEDRO HENRIQUE SECCHIN SILVA;BRASIL
B1500478500000;THIAGUINHO E LUCAS LUCCO - TODA TODA (TÁ DIFERENTE) (EXTRAÍDO MÚSICA BOA);PEDRO HENRIQUE SECCHIN SILVA;BRASIL
B1500478800000;MAIS UMA VEZ;MARCOS OJEDA FUCKS;BRASIL
B1500478900000;SE EU FOSSE VOCÊ: A SÉRIE - 2ª TEMPORADA;PAULO DE MORAES FONTENELLE;BRASIL
B1500479700000;CALL IT WHAT YOU WANT;DEREK FERNANDES MOREIRA;BRASIL
B1500479900000;HISTÓRIA DE ABRAIM;OTAVIO HADDAD CURY;BRASIL
B1500480000000;OMA;MICHAEL WAHRMANN STEIN;URUGUAI
B1500480100000;BRAZILIAN STORM 7ª TEMPORADA;RAFAEL MELLIN DE CAMPOS;BRASIL
B1500480200000;A FILHA DE SÃO SEBASTIÃO;RAQUEL OLIVEIRA ALVAREZ;BRASIL
B1500480300000;DEVOTO DE FREI GALVÃO;APARECIDO SIDNEY DE OLIVEIRA;BRASIL
B1500480300000;DEVOTO DE FREI GALVÃO;VALDIR WILSON RODRIGUES;BRASIL
B1500480400000;MISSA DE SÃO JUDAS TADEU;APARECIDO SIDNEY DE OLIVEIRA;BRASIL
B1500480400000;MISSA DE SÃO JUDAS TADEU;VALDIR WILSON RODRIGUES;BRASIL
B1500480500000;MISSA DA SÉ;VALDIR WILSON RODRIGUES;BRASIL
B1500480600000;QUERENDO TE ENCONTRAR;BRUNO FELIPE CABRAL DE MENDONCA;BRASIL
B1500480700000;JARDIM 2.0;SERGIO ANTONIO VELLOSO;BRASIL
B1500480800000;S2;BRUNO BINI PEREIRA ROSA;BRASIL
B1500481000000;GENTILEZA;WESLEY BATISTA ZAREMARE;BRASIL
B1500481100000;CUMIEIRA;DIEGO VINICIUS BENEVIDES RAMOS;BRASIL
B1500481200000;DITADOS POPULARES;WESLEY BATISTA ZAREMARE;BRASIL
B1500481300000;DOSES GIGANTES;BRUNO FRAGOSO COUTO;BRASIL
B1500481300000;DOSES GIGANTES;FABRIZIO MAYER MARIOTTO TONIOLO;BRASIL
B1500481400000;MONTE CASTELO;GASTAO DE LIMA COIMBRA;BRASIL
B1500481500000;QUASE DESATENTO - FERNANDA TAKAI;CRISTIANO TRAD SOARES DE NAZARE;BRASIL
B1500481500000;QUASE DESATENTO - FERNANDA TAKAI;NATHALIA MARCAL SILVA;BRASIL
B1500481600000;OLHOS DE BOTÃO;MARLOM MEIRELLES SILVA NASCIMENTO;BRASIL
B1500481700000;CONTRA PLANO;DANIEL SEQUEIRA BARJAS;BRASIL
B1500481800000;GIRO DO BOI;JULIANA PATRICIA GONCALVES CAMARGO;BRASIL
B1500481800000;GIRO DO BOI;MAURO SERGIO ORTEGA;BRASIL
B1500482100000;PÉROLA DO MAR;ILSON ANTONIO BETTIN;BRASIL
B1500482200000;TE PERDOO, MEU AMOR;DIEGO CARDOSO ALVES GARCIA;BRASIL
B1500482800000;LUZCIA, A DONA DO BOTECO;PAULO AFONSO MONTEIRO DELFINI;BRASIL
B1500482900000;POLITICAMENTE INCORRETO - TELEFILME;FABRICIO PIRES BITTAR DE CARVALHO;BRASIL
B1500483000000;LENHADOR;FABIO TEOFILO DO NASCIMENTO;BRASIL
B1500483100000;FLOR BRILHANTE E AS CICATRIZES DA PEDRA;JADE OLIVEIRA E RAINHO CUNHA;BRASIL
B1500483200000;PEQUI WEEK BAR;ANDRE LUIS DA CUNHA;BRASIL
B1500483300000;MAYBE SEE ME AGAIN;ORIOL BARBERA MASATS;ESPANHA
